"trade_count","current_datetime","currency","volume","buy_exchange","buy_price","total_purchase_amount","sell_exchange","sell_price","total_sale_amount","profit","spread_percentage","wallet_balance"
4234,"2024-04-11T00:59:58.448777","polygon",1101.7704985808473,"Poloniex",0.88317,973.050651231647,"Binanceus",0.8873,977.6009633907858,4.550312159138798,0.4676336379179509,2270.4515195405093
4235,"2024-04-11T01:00:56.117850","polygon",1101.5326078220533,"Kraken",0.8846,974.4157448793884,"Binanceus",0.8869,976.949269877379,2.5335249979906393,0.26000452181776723,2273.6367380519064
4236,"2024-04-11T01:13:24.041485","polygon",1101.8935620099273,"Kraken",0.885,975.1758023787856,"Binanceus",0.8873,977.7101575714084,2.5343551926227974,0.259887005649714,2275.4102055505
4237,"2024-04-11T01:26:23.292885","polygon",1105.7513130937825,"Kraken",0.8826,975.9361089365725,"Binanceus",0.8854,979.0322126132351,3.096103676662551,0.3172445048719594,2277.184254185336
4238,"2024-04-11T01:26:52.428131","polygon",1106.8287747734726,"Bitstamp",0.88258,976.8649400395715,"Binanceus",0.8848,979.3220999195686,2.457159879997107,0.2515352715901108,2279.3515267589996
4239,"2024-04-11T01:27:21.551085","polygon",1108.392390026724,"Kraken",0.882,977.6020880035704,"Binanceus",0.8848,980.7055866956454,3.103498692074936,0.3174603174603203,2281.071538674998
4240,"2024-04-11T01:27:50.709658","polygon",1109.6996343969074,"Kraken",0.8818,978.533137611193,"Binanceus",0.8848,981.8622365143838,3.329098903190811,0.3402132002721709,2283.24398775945
4241,"2024-04-11T01:28:22.111928","polygon",1111.9671555024977,"Kraken",0.8809,979.5318672821502,"Binanceus",0.8848,983.86853918861,4.336671906459856,0.4427290271313446,2285.574356991684
4242,"2024-04-11T01:28:51.851292","polygon",1113.1534153349544,"Bitstamp",0.88113,980.8328688540884,"Binanceus",0.8836,983.5823577899657,2.749488935877366,0.28032185943051346,2288.610027326206
4243,"2024-04-11T01:29:20.406665","polygon",1114.3677737054313,"Poloniex",0.88091,981.6577155348515,"Binanceus",0.8836,984.6553648461191,2.9976493112676508,0.3053660419339185,2290.53466958132
4244,"2024-04-11T01:29:49.202571","polygon",1115.5279408812803,"Kraken",0.8808,982.5570103282317,"Binanceus",0.8836,985.6804885626993,3.1234782344675978,0.3178928247048166,2292.6330240992074
4245,"2024-04-11T01:30:22.155113","polygon",1117.289467536009,"Poloniex",0.88025,983.4940537985718,"Binanceus",0.8836,987.2369735148176,3.7429197162457513,0.3805737006532321,2294.819458863335
4246,"2024-04-11T01:30:51.327502","polygon",1119.3916890784967,"Kraken",0.8796,984.6169297134458,"Binanceus",0.882,987.3034697672341,2.686540053788349,0.2728512960436514,2297.439502664707
4247,"2024-04-11T01:32:47.619647","polygon",1119.4807063102326,"Poloniex",0.88025,985.4228917295821,"Binanceus",0.8825,987.9417233187802,2.5188315891980437,0.25560920193126657,2299.3200807023586
4248,"2024-04-11T01:33:16.552059","polygon",1120.339155019985,"Poloniex",0.88025,986.1785412063417,"Binanceus",0.8825,988.6993043051366,2.5207630987948733,0.25560920193126657,2301.0832628147973
4249,"2024-04-11T01:34:43.649163","polygon",1119.3543950731316,"Kraken",0.8817,986.9347701359802,"Binanceus",0.8844,989.9570270026776,3.0222568666973757,0.3062266076896818,2302.8477969839537
4250,"2024-04-11T01:37:06.435161","polygon",1120.9039557875265,"Bitstamp",0.88129,987.8414471959892,"Binanceus",0.8836,990.4307353338585,2.589288137869289,0.2621157621214395,2304.963376790642
4251,"2024-04-11T01:37:34.935953","polygon",1121.6835536010417,"Bitstamp",0.88137,988.6182336373502,"Binanceus",0.8836,991.1195879618805,2.5013543245303254,0.2530151922575156,2306.7758784871503
4252,"2024-04-11T01:38:03.536370","polygon",1122.815230022935,"Bitstamp",0.88115,989.3686399347092,"Binanceus",0.8836,992.1195372482655,2.7508973135562655,0.27804573568632623,2308.526826514322
4253,"2024-04-11T01:38:31.836606","polygon",1123.75181198295,"Bitstamp",0.88115,990.1939091287763,"Binanceus",0.8836,992.9471010681345,2.753191939358203,0.27804573568632623,2310.452454633811
4254,"2024-04-11T01:44:18.106420","polygon",1124.4977495865014,"Kraken",0.8813,991.0198667105836,"Binanceus",0.8836,993.6062115346327,2.5863448240490925,0.26097810053331216,2312.379688991362
4255,"2024-04-11T01:44:46.667913","polygon",1125.7613736183864,"Kraken",0.881,991.7957701577984,"Binanceus",0.8836,994.7227497292063,2.9269795714078555,0.2951191827468838,2314.1901303681966
4256,"2024-04-11T01:45:14.942047","polygon",1127.3979148543112,"Kraken",0.8805,992.673864029221,"Binanceus",0.8836,996.1687975652694,3.494933536048393,0.3520726859738902,2316.239016068182
4257,"2024-04-11T01:46:13.276487","polygon",1129.9746925132877,"Poloniex",0.87942,993.7223440900354,"Binanceus",0.8818,996.4116838582171,2.6893397681816396,0.2706329171499453,2318.685469543416
4258,"2024-04-11T01:46:42.629219","polygon",1131.4196038958485,"Bitstamp",0.87901,994.5291460204897,"Binanceus",0.8818,997.6858067153593,3.1566606948695153,0.31740253239440624,2320.5680073811427
4259,"2024-04-11T01:47:40.718880","polygon",1131.737317222545,"Kraken",0.8796,995.4761442289506,"Binanceus",0.8818,997.9659663268402,2.4898220978896006,0.2501136880400159,2322.7776698675516
4260,"2024-04-11T01:48:37.958011","polygon",1132.8183244164534,"Poloniex",0.87942,996.2230908583174,"Binanceus",0.8819,999.0324803028702,2.809389444552835,0.2820040481226306,2324.5205453360745
4261,"2024-04-11T01:49:06.464237","polygon",1133.8282741154942,"Bitstamp",0.87938,997.0659076916834,"Binanceus",0.8818,999.8097721150428,2.7438644233594687,0.2751938866019215,2326.487117947261
4262,"2024-04-11T01:49:34.893740","polygon",1134.8933980287181,"Bitstamp",0.87928,997.8890670186912,"Binanceus",0.8818,1000.7489983817237,2.8599313630325014,0.2865981257392501,2328.407823043613
4263,"2024-04-11T01:50:04.043298","polygon",1135.9466873224005,"Bitstamp",0.87922,998.7470464276009,"Binanceus",0.8818,1001.6777888808928,2.9307424532918276,0.29344191442415174,2330.4097749977354
4264,"2024-04-11T01:50:32.497749","polygon",1137.1018873434061,"Kraken",0.8791,999.6262691635883,"Binanceus",0.8818,1002.6964442594156,3.070175095827267,0.30713229439199585,2332.46129471504
4265,"2024-04-11T01:51:01.531020","polygon",1138.0460448285182,"Bitstamp",0.87918,1000.5473216923366,"Binanceus",0.8818,1003.5290023297874,2.981680637450836,0.29800495916650366,2334.610417282119
4266,"2024-04-11T01:51:30.261776","polygon",1138.649034546415,"Kraken",0.8795,1001.4418258835718,"Binanceus",0.8818,1004.0607186630286,2.6188927794568144,0.26151222285390335,2336.6975937283346
4267,"2024-04-11T01:51:58.947366","polygon",1139.8015395398716,"Bitstamp",0.8793,1002.2274937174091,"Binanceus",0.8818,1005.0769975662588,2.8495038488497357,0.28431707039691323,2338.530818673954
4268,"2024-04-11T01:52:28.391756","polygon",1140.4105878624614,"Bitstamp",0.87958,1003.0823448720638,"Binanceus",0.8818,1005.6140563771185,2.531711505054659,0.2523931876577457,2340.525471368149
4269,"2024-04-11T01:54:52.125833","polygon",1141.1184020956919,"Kraken",0.8797,1003.8418583235801,"Binanceus",0.8821,1006.5805424886098,2.7386841650296674,0.2728202796407818,2342.2976694216873
4270,"2024-04-11T01:57:17.822412","polygon",1142.052362820381,"Kraken",0.8797,1004.6634635730892,"Binanceus",0.882,1007.290184007576,2.626720434486856,0.2614527679890836,2344.2147483372078
4271,"2024-04-11T01:57:46.240036","polygon",1142.9481410747244,"Kraken",0.8797,1005.4514797034351,"Binanceus",0.8819,1007.9659656137994,2.5144859103643284,0.25008525633738543,2346.0534526413485
4272,"2024-04-11T01:58:15.273739","polygon",1143.8186468830434,"Bitstamp",0.87969,1006.2058254765444,"Binanceus",0.8819,1008.733664686156,2.5278392096115567,0.25122486330412364,2347.813592778604
4273,"2024-04-11T01:59:12.789237","polygon",1144.6677017613138,"Kraken",0.8797,1006.9641772394277,"Binanceus",0.8819,1009.4824461833026,2.5182689438748866,0.25008525633738543,2349.583080225332
4274,"2024-04-11T02:00:42.558602","polygon",1145.2661187891697,"Kraken",0.8799,1007.7196579225904,"Binanceus",0.8821,1010.2392433839266,2.5195854613361917,0.25002841231957945,2351.3458684860443
4275,"2024-04-11T02:01:40.640295","polygon",1146.2554371004674,"Bitstamp",0.8798,1008.4755335609913,"Binanceus",0.882,1010.9972955226123,2.521761961620996,0.2500568310979745,2353.1095783089795
4276,"2024-04-11T02:02:09.776018","polygon",1147.4805145414289,"Poloniex",0.87952,1009.2320621494775,"Binanceus",0.8818,1011.848317722632,2.61625557315449,0.25923230853193335,2354.8748116821143
4277,"2024-04-11T02:02:38.441371","polygon",1148.8431443894442,"Bitstamp",0.87916,1010.0169388214239,"Binanceus",0.8818,1013.049884722612,3.0329459011881,0.30028663724463983,2356.706190583322
4278,"2024-04-11T02:03:07.047439","polygon",1149.551202046577,"Bitstamp",0.87941,1010.9268225917803,"Binanceus",0.8818,1013.6742499646715,2.747427372891252,0.2717731206149581,2358.829252714154
4279,"2024-04-11T02:05:31.286863","polygon",1150.2399395221096,"Kraken",0.8796,1011.7510508036477,"Binanceus",0.8819,1014.3966026645485,2.6455518609008095,0.2614824920418336,2360.752451875178
4280,"2024-04-11T02:11:22.046613","polygon",1147.2294542963039,"Kraken",0.8826,1012.5447163619178,"Binanceus",0.8852,1015.5275129430881,2.982796581170305,0.29458418309539264,2362.6043381778086
4281,"2024-04-11T02:12:47.706675","polygon",1149.1547288085599,"Kraken",0.8819,1013.439555336269,"Binanceus",0.8842,1016.0826112125286,2.6430558762596092,0.2608005442793932,2364.6922957846273
4282,"2024-04-11T02:13:17.119426","polygon",1150.145121054111,"Bitstamp",0.88183,1014.2324720991468,"Binanceus",0.8842,1016.9583160360451,2.7258439368982863,0.2687592846693788,2366.542434898009
